country,co2,ch4,n2o,co2e_100yr,co2e_20yr
SOM,16401276.470199136,1646393.8849687239,40395.682041664906,76757996.30401082,168461277.33391264
SVN,29015914.25172162,196474.83724353067,5607.294972549637,36992606.51383862,48159879.60552261
TCA,1107236.6244483914,670.0538893280426,22.30414918068176,1131684.0919975084,1167556.0642022376
SUR,8986420.574799675,99300.7926748706,1269.9500806933008,12082692.889069123,17385089.581554852
SLB,1838875.4324189192,16934.282934570936,181.36736873528466,2352704.8142418675,3258980.563030447
SSD,35760902.09048426,1638685.5954567154,40589.81744273834,92098471.25396563,179650708.32453436
SWZ,6728094.636359482,75883.80046439012,2721.296806350865,9579904.670509856,13629531.73978698
SRB,102460996.97629851,612947.1801132698,23318.381843321622,125878333.7426873,158579735.3901308
SYC,2620870.2573363166,4666.848977370655,107.73379702131047,2777645.975956107,3027652.354220311
SXM,1425903.4280576224,505.54490346366117,77.59069750099627,1461246.564400771,1488249.8916941145
STP,581280.9839370081,3772.1170543690714,130.07530332571176,722720.4007294844,923734.6786791224
SVK,79330421.6569531,311437.32682790933,24594.703256351942,96926453.75316547,115352691.71546929
SWE,171275896.58600995,424977.1854601764,74056.2849412673,206296133.1266199,231400722.03754324
SJM,247527.9736936976,39157.8655917568,12.727684835925283,1317427.280294868,3415726.5959164537
SLV,20147920.99636186,242372.89824804352,7713.540977944173,29754480.535817835,43754887.346764766
SLE,10046378.928325549,388309.5174135472,7145.051956439968,22778310.611223795,43522195.446750686
SYR,76315111.5548219,600105.4427909959,34575.818649882385,112266448.67636633,156139647.34601372
SPM,221960.3902472421,396.2674698219478,7.078162574161306,234702.43250674158,255932.90938934748
SMR,160474.5207588199,222.6952071737406,24.88817928435905,173568.22280070785,185420.4605837263
TCD,40811611.59316915,4402617.6881384505,161455.1525870381,208745861.46059534,444905724.34754896
VAT,27608.646340654206,49.99254579008414,0.8619729603453651,29296.21987449649,31943.50340059189
TZA,91858035.51873459,3348366.107660361,110494.79656283856,215235756.41526926,393879415.98446643
URY,26259587.30989345,2083232.1522634157,43408.824894637844,96264015.00175995,207990846.484123
UMI,138646.44226656362,24.493784623506833,7.865906562368709,141476.7406318195,142782.5316387021
TUN,79529577.93385865,578035.8406226224,22909.99925033429,104758724.99329841,139193241.64276308
TWN,563278762.5975375,709992.8987161827,28587.808103245243,608908217.8553015,643972854.3725942
TJK,35342611.9784857,599681.2512760246,12157.877598849034,55550122.86831647,87524108.75461535
TON,721342.3491228517,11518.235624105575,108.95517830098149,1071766.6303725108,1685998.0093724
TKM,202989495.68583125,3368705.686814275,37305.65945726577,308726652.8736422,488655010.5215654
USA,10454396535.933138,54631942.86251238,1506785.7178139829,12838439674.744337,16125056745.128021
TUV,186345.11341098836,543.3230854520795,15.973801398859722,205841.4060130443,234819.2232774448
UKR,639502528.150504,5946268.159356461,197666.0161221968,863756233.4049083,1186759136.4755611
THA,629802227.8668742,9941063.018939722,152268.07448450653,1015574988.7586038,1627908643.9472346
TUR,920621702.6732479,11814655.466077823,332893.18703137623,1355384127.8239586,2009503958.752628
UGA,45195615.05860885,1797420.309778811,63945.17806565198,112617336.02261408,208537774.4031579
TTO,77615245.77219047,879842.2292824951,1907.7838067313821,106326349.68932256,157172865.9469393
TLS,8408100.524632469,153412.00638299325,1817.3388267509924,13222601.071245393,21388865.22475322
TKL,7743.389322414111,94.35483989330983,2.5997519575183987,11079.16826668266,16111.42113831319
TGO,10715706.394102355,284175.69632161886,9730.520869937563,22775314.048873235,39672945.63262644
UZB,327947614.9999142,4817530.229312465,78891.87922418759,483724496.50648063,741469378.9097048
VCT,1087755.499162096,3393.6316534846355,68.7349614780069,1199553.1881929103,1381649.327544894
VEN,249298470.19593748,6331830.239717062,68750.3708465884,460685006.6927741,816374268.3937514
VGB,806395.6253176592,401.51035399290697,24.750258902371876,824218.2890398473,845697.3650582698
VIR,2392619.168400631,10523.243955640735,99.0266087075246,2755163.1515776766,3316111.2981297215
VNM,847585865.3042679,8583911.29489695,152548.66734719017,1146846898.8577843,1623404031.3015509
VUT,1038639.2645019555,16817.09089660897,159.92674131801266,1547279.1765440495,2445579.639622235
WLF,171516.31219238185,121.99613478120311,3.7635213441611626,175896.5400833636,182424.1488306738
WSM,997594.8406658592,7549.258988445726,138.795378577499,1244564.0898362992,1647706.7722102273
YEM,36650425.72528763,985583.0485721214,32641.361455781345,84349768.24417277,150875625.11542937
ZAF,980902984.8902376,5733901.377229349,120051.17686296027,1205704142.6579878,1542472580.9032042
ZMB,74578448.30254555,590162.2395397819,36769.29583093458,101145923.0433674,132600312.84330447
ZWE,40971119.35263498,856366.5129641099,20951.9279635611,71971839.24382247,119180118.37233572
